,line1,line2
0,RUSSIAN SOCIAL MEDIA CAMPAIGN,"The Internet Research Agency (IRA) carried out the earliest Russian interference operations identified by the investigation -- a social media campaign designed to provoke and amplify political and social discord in the United States. The IRA was based in St. Petersburg, Russia, and received funding from Russian oligarch Yevgeniy Prigozhin and companies he controlled. Prigozhin is widely reported to have ties to Russian President Vladimir Putin, [Harm to Ongoing Matter]"
1,"In March 2016, the GRU began hacking the email accounts of Clinton Campaign volunteers and employees, including campaign chairman John Podesta. In April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC). The GRU stole hundreds of thousands of documents from the compromised email accounts and networks. Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0."" The GRU later released additional materials through the organization WikiLeaks.","The presidential campaign of Donald J. Trump (""Trump Campaign"" or ""Campaign"") showed interest in WikiLeaks's releases of documents and welcomed their potential to damage candidate Clinton. Beginning in June 2016, [Harm to Ongoing Matter] forecast to senior Campaign officials that WikiLeaks would release information damaging to candidate Clinton. WikiLeaks's first release came in July 2016. Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically)."
2,"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents.","In July 2016, Campaign foreign policy advisor Carter Page traveled in his personal capacity to Moscow and gave the keynote address at the New Economic School. Page had lived and worked in Russia between 2003 and 2007. After returning to the United States, Page became acquainted with at least two Russian intelligence officers, one of w [Harm to Ongoing Matter] was later charged in 2015 with conspiracy to act as an unregistered agent of Russia. Page's July 2016 trip to Moscow and his advocacy for pro-Russian foreign policy drew media attention. The Campaign then distanced itself from Page and, by late September 2016, removed him from the Campaign."
3,"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik, and the sharing continued for some period of time after their August meeting.","Fall 2016. On October 7, 2016, the media released video of candidate Trump speaking in graphic terms about women years earlier, which was considered damaging to his candidacy. Less than an hour later, WikiLeaks made its second release: thousands of John Podesta's emails that had been stolen by the GRU in late March 2016. The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election. That same day, October 7, the Department of [Harm to Ongoing Matter] eland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian Government directed the recent compromises of e-mails from US persons and institutions, including from US political organizations."" Those ""thefts"" and the ""disclosures"" of the hacked materials through online platforms such as WikiLeaks, the statement continued, ""are intended to interfere with the US election process."""
4,"Second, while the investigation identified numerous links between individuals with ties to the Russian government and individuals associated with the Trump Campaign, the evidence was not sufficient to support criminal charges. Among other things, the evidence was not sufficient to charge any Campaign official as an unregistered agent of the Russian government or other Russian principal. And our evidence about the June 9, 2016 meeting and WikiLeaks's releases of hacked materials was not sufficient to charge a criminal campaign-finance violation. Further, the evidence was not sufficient to charge that any member of the Trump Campaign conspired with representatives of the Russian government to interfere in the 2016 election.","Third, the investigation established that several individuals affiliated with the Trump Campaign lied to the Office, and to Congress, about their interactions with Russian-affiliated individuals and related matters. Those lies materially impaired the investigation of Russian election interference. The Office charged some of those lies as violations of the federal false-statements statute. Former National Security Advisor Michael Flynn pleaded guilty to lying about his interactions with Russian Ambassador Kislyak during the transition period. George Papadopoulos, a foreign policy advisor during the campaign period, pleaded guilty to lying to investigators about, inter alia, the nature and timing of his interactions with Joseph Mifsud, the professor who told Papadopoulos that the Russians had dirt on candidate Clinton in the form of thousands of emails. Former Trump Organization attorney Michael Cohen pleaded guilty to making false statements to Congress about the Trump Moscow project. [Harm to Ongoing Matter] And in February 2019, the U.S. District Court for the District of Columbia found that"
5,* * *,"To carry out the investigation and prosecution of the matters assigned to him, the Special Counsel assembled a team that at its high point included 19 attorneys -- five of w [Harm to Ongoing Matter] joined the Office from private practice and 14 on detail or assigned from other Department of Justice components. These attorneys were assisted by a filter team of Department lawyers and FBI personnel who screened materials obtained via court process for privileged information before turning those materials over to investigators; a support staff of three paralegals on detail from the Department's Antitrust Division; and an administrative staff of nine responsible for budget, finance, purchasing, human resources, records, facilities, security, information technology, and administrative support. The Special Counsel attorneys and support staff were co-located with and worked alongside approximately 40 FBI agents, intelligence analysts, forensic accountants, a paralegal, and professional staff assigned by the FBI to assist the Special Counsel's investigation."
6,"Footnote: 2. The Office is aware of reports that other Russian entities engaged in similar active measures operations targeting the United States. Some evidence collected by the Office corroborates those reports, and the Office has shared that evidence with other offices in the Department of Justice and FBI.","Footnote: 3. [Harm to Ongoing Matter] see also SM-2230634, serial 44 (analysis). The FBI case number cited here, and other FBI case numbers identified in the report, should be treated as law enforcement sensitive given the context. The report contains additional law enforcement sensitive information."
7,"Footnote: 4. As discussed in Part V below, the active measures investigation has resulted in criminal charges against 13 individual Russian nationals and three Russian entities, principally for conspiracy to defraud the United States, in violation of 18 U.S.C. § 371. See Volume 1, Section V.A, infra; Indictment, United States v. Internet Research Agency, et al., 1:18-cr-32 (D.D.C. Feb. 16, 2018), Doc. 1 (""Internet Research Agency Indictment"").","Footnote: 5. Internet Research Agency Indictment 1 52, 54, 55(a), 56, 74; [Harm to Ongoing Matter]"
8,"Footnote: 28. The term ""troll"" refers to internet users -- in this context, paid operatives -- who post inflammatory or otherwise disruptive content on social media or other websites.","IRA employees were aware that Prigozhin was involved in the IRA's U.S. operations, [Harm to Ongoing Matter] 29 [Harm to Ongoing Matter] 30 In May 2016, IRA employees, claiming to be U.S. social activists and administrators of Facebook groups, recruited U.S. persons to hold signs (including one in front of the White House) that read ""Happy 55th Birthday Dear Boss,"" as an [Harm to Ongoing Matter] age to Prigozhin (whose 55th birthday was on June 1, 2016).31 [Harm to Ongoing Matter] [Harm to Ongoing Matter] C. The IRA Targets U.S. Elections 1. The IRA Ramps Up U.S. Operations As Early As 2014 The IRA's U.S. operations sought to influence public opinion through online media and forums. By the spring of 2014, the IRA began to consolidate U.S. operations within a single general department, known internally as the ""Translator"" (TlepeBOJYUK department."
9,"Footnote: 31. Internet Research Agency Indictment | 12(b); see also 5/26/16 Facebook Messages, ID 1479936895656747 (United Muslims of America) & [Personal Privacy]","Footnote: 32. [Harm to Ongoing Matter] see also SM-2230634, serial 189. [Harm to Ongoing Matter]"
10,The IRA closely monitored the activity of its social media accounts.,"[Harm to Ongoing Matter] [Harm to Ongoing Matter] 40 [Harm to Ongoing Matter] 41 [Harm to Ongoing Matter] 42 [Harm to Ongoing Matter] 43 [Harm to Ongoing Matter] 44 See, e.g., SM-2230634, serial 179 [Harm to Ongoing Matter] 45 See, e.g., Facebook ID 100011390466802 (Alex Anderson); Facebook ID 100009626173204 (Andrea Hansen); Facebook ID 100009728618427 (Gary Williams); Facebook ID 100013640043337 (Lakisha Richardson)."
11,"Footnote: 46. The account claimed to be the ""Unofficial Twitter of Tennessee Republicans"" and made posts that appeared to be endorsements of the state political party. See, e.g., @TEN_GOP, 4/3/16 Tweet (""Tennessee GOP backs @realDonald Trump period #makeAmericagreatagain #tngop #tennessee #gop"").","[Harm to Ongoing Matter] [Harm to Ongoing Matter] [Harm to Ongoing Matter] By February 2016, internal IRA documents referred to support for the Trump Campaign and opposition to candidate Clinton.49 For example, [Harm to Ongoing Matter] directions to IRA operators [Harm to Ongoing Matter] ""Main idea: Use any opportunity to criticize Hillary [Clinton and the rest (except Sanders and Trump - we support them).""50 [Harm to Ongoing Matter] The focus on the U.S. presidential campaign continued throughout 2016. In [Harm to Ongoing Matter] 2016 internal [Harm to Ongoing Matter] reviewing the IRA-controlled Facebook group ""Secured Borders,"" the 47 [Harm to Ongoing Matter] 48 See, e.g., SM-2230634 serial 131 [Harm to Ongoing Matter] 49 The IRA posted content about the Clinton candidacy before Clinton officially announced her presidential campaign. IRA-controlled social media accounts criticized Clinton's record as Secretary of State and promoted various critiques of her candidacy. The IRA also used other techniques."
12,"Collectively, the IRA's social media accounts reached tens of millions of U.S. persons.","Individual IRA social media accounts attracted hundreds of thousands of followers. For example, at the time they were deactivated by Facebook in mid-2017, the IRA's ""United Muslims of America"" Facebook group had over 300,000 followers, the ""Don't Shoot Us"" Facebook group had over 250,000 followers, the ""Being Patriotic"" Facebook group had over 200,000 followers, and the ""Secured Borders"" Facebook group had over 130,000 followers. According to Facebook, in total the IRA-controlled accounts made over 80,000 posts before their deactivation in August 2017, and these posts reached at least 29 million U.S persons and ""may have reached an estimated 126 million people.62 4. U.S. Operations Through Twitter A number of IRA employees assigned to the Translator Department served as Twitter specialists. [Harm to Ongoing Matter] The IRA's Twitter operations involved two strategies. First, IRA specialists operated certain Twitter accounts to create individual U.S. personas, [Harm to Ongoing Matter] * Separately, the IRA operated a network of automated Twitter accounts (commonly referred to as a bot network) that enabled the IRA to amplify existing content on Twitter. a. Individualized Accounts [Harm to Ongoing Matter] 15 [Harm to Ongoing Matter] 61 See Facebook ID 1479936895656747 (United Muslims of America); Facebook ID 1157233400960126 (Don't Shoot); Facebook ID 1601685693432389 (Being Patriotic); Facebook ID 757183957716200 (Secured Borders). [Harm to Ongoing Matter] [Harm to Ongoing Matter] [Harm to Ongoing Matter] 62 Social Media Influence in the 2016 U.S. Election, Hearing Before the Senate Select Committee on Intelligence, 115th Cong. 13 (11/1/17)(testimony of Colin Stretch, General Counsel of Facebook)."
13,"The IRA used many of these accounts to attempt to influence U.S. audiences on the election. Individualized accounts used to influence the U.S. presidential election included @TEN_GOP (described above); @jenn_abrams (claiming to be a Virginian Trump supporter with 70,000 followers); @Pamela_Moore13 (claiming to be a Texan Trump supporter with 70,000 followers); and @America_1st_(an anti-immigration persona with 24,000 followers).67 In May 2016, the IRA created the Twitter account @march_for_trump, which promoted IRA-organized rallies in support of the Trump Campaign (described below).","[Harm to Ongoing Matter] [Harm to Ongoing Matter] Using these accounts and others, the IRA provoked reactions from users and the media. Multiple IRA-posted tweets gained popularity.70 U.S. media outlets also quoted tweets from IRA-controlled accounts and attributed them to the reactions of real U.S. persons. Similarly, numerous high-"
